Sample,HR,RR,MSE_Time,PSNR,Corr,MSE_Freq,Orig_Peak1_Freq,Orig_Peak2_Freq,Orig_Peak3_Freq,Gen_Peak1_Freq,Gen_Peak2_Freq,Gen_Peak3_Freq
1,0.4,0.26666666666666666,0.3302751710216651,4.811240738822768,0.06529046607346167,0.0020672353742397015,1.375,2.625,4.0,2.375,3.625,0.75
2,0.45,0.31666666666666665,0.4427109079524322,3.5387977730918245,-0.47217015448977917,0.0005029453111930563,1.5,2.875,4.375,1.5,2.875,4.375
3,0.435,0.3333333333333333,0.5739078834364847,2.411578095631152,-0.5295194405088052,0.00041483695896728836,1.375,2.75,0.0,1.375,2.875,4.25
4,0.63,0.26666666666666666,0.2888443748684421,5.393360857558843,-0.06644612514383909,0.005070809457373002,2.125,4.125,0.0,1.75,3.625,5.375
5,0.33,0.06666666666666667,0.40166882389338765,3.961318753544716,-0.3523443865378019,8.664365846167915e-06,2.25,3.375,0.75,1.125,2.25,3.375
6,0.47,0.23333333333333334,0.42229654811834744,3.7438246851418984,-0.6494467323509279,0.0003706966882322823,1.25,3.25,1.875,1.625,3.25,0.0
7,0.4,0.26666666666666666,0.28613639540953045,5.434268981533803,-0.04265376106660859,0.0005843540062089724,1.0,1.875,2.875,2.0,1.0,3.875
8,0.315,0.3,0.28917559786258884,5.388383578531524,0.5016091448215545,0.00024805278640652303,1.0,2.0,4.125,1.0,2.125,3.125
9,0.45,0.3,0.44483426728876974,3.518017647686353,-0.28537811277248326,0.0007929666259031574,1.5,2.125,3.0,1.0,2.625,2.0
10,0.505,0.35,0.45833913925102043,3.3881305518164915,0.07124958977356464,0.001677540842068383,1.625,3.375,5.0,1.5,3.125,0.75
